# Unicode Character Names
# Format: <code point>; <character name>

0041; LATIN CAPITAL LETTER A
0042; LATIN CAPITAL LETTER B
0043; LATIN CAPITAL LETTER C
0044; LATIN CAPITAL LETTER D
0045; LATIN CAPITAL LETTER E
0046; LATIN CAPITAL LETTER F
0047; LATIN CAPITAL LETTER G
0048; LATIN CAPITAL LETTER H
0049; LATIN CAPITAL LETTER I
004A; LATIN CAPITAL LETTER J
004B; LATIN CAPITAL LETTER K
004C; LATIN CAPITAL LETTER L
004D; LATIN CAPITAL LETTER M
004E; LATIN CAPITAL LETTER N
004F; LATIN CAPITAL LETTER O
0050; LATIN CAPITAL LETTER P
0051; LATIN CAPITAL LETTER Q
0052; LATIN CAPITAL LETTER R
0053; LATIN CAPITAL LETTER S
0054; LATIN CAPITAL LETTER T
0055; LATIN CAPITAL LETTER U
0056; LATIN CAPITAL LETTER V
0057; LATIN CAPITAL LETTER W
0058; LATIN CAPITAL LETTER X
0059; LATIN CAPITAL LETTER Y
005A; LATIN CAPITAL LETTER Z
