# Numeric Properties
# Format: <code point range>; <numeric value>

# Basic ASCII digits
0030..0039; 0  # DIGIT ZERO..DIGIT NINE

# Vulgar fractions
00BC; 1/4  # VULGAR FRACTION ONE QUARTER
00BD; 1/2  # VULGAR FRACTION ONE HALF
00BE; 3/4  # VULGAR FRACTION THREE QUARTERS
2150; 1/7  # VULGAR FRACTION ONE SEVENTH
2151; 1/9  # VULGAR FRACTION ONE NINTH
2152; 1/10  # VULGAR FRACTION ONE TENTH
2153; 1/3  # VULGAR FRACTION ONE THIRD
2154; 2/3  # VULGAR FRACTION TWO THIRDS
2155; 1/5  # VULGAR FRACTION ONE FIFTH
2156; 2/5  # VULGAR FRACTION TWO FIFTHS
2157; 3/5  # VULGAR FRACTION THREE FIFTHS
2158; 4/5  # VULGAR FRACTION FOUR FIFTHS
2159; 1/6  # VULGAR FRACTION ONE SIXTH
215A; 5/6  # VULGAR FRACTION FIVE SIXTHS
215B; 1/8  # VULGAR FRACTION ONE EIGHTH
215C; 3/8  # VULGAR FRACTION THREE EIGHTHS
215D; 5/8  # VULGAR FRACTION FIVE EIGHTHS
215E; 7/8  # VULGAR FRACTION SEVEN EIGHTHS

# Superscript and subscript numbers
2070; 0  # SUPERSCRIPT ZERO
2074..2079; 4  # SUPERSCRIPT FOUR..SUPERSCRIPT NINE
2080..2089; 0  # SUBSCRIPT ZERO..SUBSCRIPT NINE
2460..2468; 1  # CIRCLED DIGIT ONE..CIRCLED DIGIT NINE
2474..247C; 1  # PARENTHESIZED DIGIT ONE..PARENTHESIZED DIGIT NINE
2488..2490; 1  # DIGIT ONE FULL STOP..DIGIT NINE FULL STOP

# Roman numerals
2160..2182; 1  # ROMAN NUMERAL ONE..ROMAN NUMERAL TEN THOUSAND
2185..2188; 1  # ROMAN NUMERAL SIX LATE FORM..ROMAN NUMERAL ONE HUNDRED THOUSAND

# Number forms
2789; 1  # DINGBAT CIRCLED SANS-SERIF DIGIT ONE
278A..2793; 2  # DINGBAT CIRCLED SANS-SERIF DIGIT TWO..DINGBAT CIRCLED SANS-SERIF DIGIT TEN

# Mathematical numbers
1D7CE..1D7FF; 0  # MATHEMATICAL BOLD DIGIT ZERO..MATHEMATICAL MONOSPACE DIGIT NINE
